线路,线路类型,现设计时速,电气化,建成年份,起点,终点,途径站点,,
北同蒲线,普速铁路,120,是,1951.8,大同,太原,大同-原平-太原,,
张大客运送专线,高速铁路,250,是,2019.12.30,大同南,张家口,大同南-张家口,,
沈丹客运专线,高速铁路,250,是,2015.9.1,沈阳,丹东,沈阳-丹东,,
沈丹铁路,普速铁路,120,否,1905,沈阳,丹东,沈阳-丹东,,
集二铁路,普速铁路,N/A,否,1954,集宁南,二连,集宁南-二连,,
合福高铁,高速铁路,350,是,2015.6.28,合肥南,福州,合肥南-铜陵北-黄山北-婺源-上饶-福州,,
峰福铁路,普速铁路,120,是,1959.12.1,上饶,福州,上饶-福州,停运,
昌福铁路,快速铁路,200,是,2013.9.26,南昌西,福州,南昌西-福州,,
杭甬高铁,高速铁路,350,是,2013.7.1,杭州东,宁波,杭州东-宁波,,
甬台温铁路,快速铁路,250,是,2009.9.28,宁波,温州南,宁波-温州南,,
温福铁路,快速铁路,250,是,2009.9.28,温州南,福州,温州南-福州,,
福厦铁路,快速铁路,200,是,2010.4.26,福州,厦门北,福州-厦门北,,
厦深铁路,快速铁路,200,是,2013.12.18,厦门北,深圳北,厦门北-深圳北,,
漯阜铁路,普速铁路,120,是,1975.2.5,漯河,阜阳,漯河-阜阳,,
石武客运专线-郑武段,高速铁路,350,是,2012.9.28,郑州东,武汉,郑州东-漯河-信阳-武汉,,
石武客运专线-石郑段,高速铁路,350,是,2012.12.26,石家庄,郑州东,石家庄-邯郸东-新乡东-郑州东,,
阜青线-青符线,普速铁路,120,否,1971,阜阳,徐州,阜阳-徐州,,
阜淮铁路,普速铁路,N/A,是,1983.11,阜阳,淮南,阜阳-淮南,,
郑阜高铁,高速铁路,350,是,2019.12.1,郑州东,阜阳西,郑州东-开封北-商丘-阜阳西,,
京港高铁-商合段,高速铁路,350,是,2019.12.1,商丘,合肥南,商丘-阜阳西-淮南南-合肥南,,
昌赣高铁,高速铁路,350,是,2019.12.26,南昌西,赣州西,南昌西-吉安西-赣州西,,
青藏铁路-西格段,普速铁路,160,是,2006.7.1,西宁,格尔木,西宁-格尔木,,
青藏铁路-格拉段,普速铁路,100,否,2006.7.1,格尔木,拉萨,格尔木-那曲-拉萨,,
格库铁路,普速铁路,120,是,2020.6.30,格尔木,库尔勒,格尔木-库尔勒,停运,
兰渝铁路-渝广段,快速铁路,200,是,2015.12.26,重庆北,广元,重庆北-广元,,
兰渝铁路-兰广段,快速铁路,160,是,2017.9.29,兰州东,广元,兰州东-广元,,
